;time;value
450;2023-07-29T14:40:42.395852Z;21.9
451;2023-07-29T14:42:42.295835Z;22.0
452;2023-07-29T14:47:22.295840Z;22.1
453;2023-07-29T14:51:24.007325Z;22.2
454;2023-07-29T14:54:03.996087Z;22.3
455;2023-07-29T14:57:02.514616Z;22.4
456;2023-07-29T14:58:42.398471Z;22.5
457;2023-07-29T15:00:25.321533Z;22.6
458;2023-07-29T15:03:02.497718Z;22.7
459;2023-07-29T15:05:23.799475Z;22.8
460;2023-07-29T15:07:43.799665Z;22.9
461;2023-07-29T15:09:02.599709Z;23.0
462;2023-07-29T15:10:42.621746Z;23.1
463;2023-07-29T15:12:22.500409Z;23.2
464;2023-07-29T15:14:22.406391Z;23.3
465;2023-07-29T15:16:02.407614Z;23.4
466;2023-07-29T15:17:22.609431Z;23.5
467;2023-07-29T15:18:42.601774Z;23.6
468;2023-07-29T15:20:05.109566Z;23.7
469;2023-07-29T15:21:42.514966Z;23.8
470;2023-07-29T15:23:22.529215Z;23.9
471;2023-07-29T15:24:42.408938Z;24.0
472;2023-07-29T15:26:22.406308Z;24.1
473;2023-07-29T15:28:22.612455Z;24.2
474;2023-07-29T15:30:02.414555Z;24.3
475;2023-07-29T15:31:25.414361Z;24.4
476;2023-07-29T15:32:42.504292Z;24.5
477;2023-07-29T15:34:02.604433Z;24.6
478;2023-07-29T15:38:23.905529Z;24.7
479;2023-07-29T15:41:22.526266Z;24.8
480;2023-07-29T15:45:02.505814Z;24.9
481;2023-07-29T15:46:22.507120Z;25.0
482;2023-07-29T15:48:02.509879Z;25.1
483;2023-07-29T15:49:22.508410Z;25.2
484;2023-07-29T15:50:42.507814Z;25.3
485;2023-07-29T15:53:02.519921Z;25.4
486;2023-07-29T15:54:44.107853Z;25.5
487;2023-07-29T15:58:24.019832Z;25.6
488;2023-07-29T15:59:42.613062Z;25.7
489;2023-07-29T16:01:42.634119Z;25.8
490;2023-07-29T16:09:02.611304Z;25.9
491;2023-07-29T16:12:25.511441Z;25.9
492;2023-07-29T16:17:42.612455Z;26.0
493;2023-07-29T16:27:22.828223Z;26.1
